Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_5654,1662,0,1662,2,1660,0,0,455,1660,1207,3,1201,3,27.376654632972325,99.87966305655837,0.0,72.62334536702768,0.18050541516245489,72.26233453670277,0.18050541516245489
gRNA_5655,262,0,262,262,0,0,0,0,0,262,0,261,1,0.0,0.0,0.0,100.0,0.0,99.61832061068702,0.38167938931297707
gRNA_5656,770,0,770,0,770,0,0,265,770,505,3,501,1,34.41558441558442,100.0,0.0,65.5844155844156,0.38961038961038963,65.06493506493507,0.12987012987012986
gRNA_5657,204,0,204,1,203,0,0,0,203,204,0,204,0,0.0,99.50980392156863,0.0,100.0,0.0,100.0,0.0
gRNA_5658,1259,1,1258,48,1209,1,0,339,1209,919,32,867,20,26.947535771065183,96.10492845786963,0.0,73.05246422893482,2.5437201907790143,68.91891891891892,1.5898251192368837
gRNA_5659,1082,0,1082,1075,3,4,43,0,3,1039,12,1011,16,0.0,0.27726432532347506,3.9741219963031424,96.02587800369686,1.1090573012939002,93.43807763401108,1.478743068391867
gRNA_566,173,0,173,92,81,0,1,53,81,119,88,28,3,30.63583815028902,46.82080924855491,0.5780346820809248,68.78612716763006,50.86705202312138,16.184971098265898,1.7341040462427744
gRNA_5660,733,0,733,733,0,0,89,0,0,644,1,642,1,0.0,0.0,12.141882673942701,87.8581173260573,0.1364256480218281,87.58526603001364,0.1364256480218281
gRNA_5661,329,1,328,93,13,222,6,0,13,322,0,100,222,0.0,3.9634146341463414,1.8292682926829267,98.17073170731707,0.0,30.48780487804878,67.6829268292683
gRNA_5662,57,0,57,55,1,1,0,0,1,57,0,1,56,0.0,1.7543859649122806,0.0,100.0,0.0,1.7543859649122806,98.24561403508771
gRNA_5663,69,0,69,69,0,0,0,0,0,69,0,69,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_5664,127,0,127,124,1,2,17,1,1,109,0,107,2,0.7874015748031495,0.7874015748031495,13.385826771653544,85.8267716535433,0.0,84.25196850393701,1.574803149606299
gRNA_5665,506,0,506,464,41,1,3,37,41,466,0,465,1,7.312252964426877,8.102766798418973,0.592885375494071,92.09486166007905,0.0,91.89723320158103,0.1976284584980237
gRNA_5666,294,0,294,0,293,1,0,50,293,244,1,3,240,17.006802721088434,99.65986394557824,0.0,82.99319727891157,0.3401360544217687,1.0204081632653061,81.63265306122449
gRNA_5667,241,0,241,0,241,0,0,194,241,47,10,37,0,80.49792531120332,100.0,0.0,19.502074688796682,4.149377593360995,15.352697095435685,0.0
gRNA_5668,166,0,166,166,0,0,114,0,0,52,1,51,0,0.0,0.0,68.67469879518072,31.32530120481928,0.6024096385542169,30.72289156626506,0.0
gRNA_5669,22,0,22,22,0,0,13,0,0,9,0,9,0,0.0,0.0,59.09090909090909,40.909090909090914,0.0,40.909090909090914,0.0
gRNA_567,821,3,818,1,817,0,0,695,817,123,0,123,0,84.96332518337408,99.87775061124694,0.0,15.036674816625917,0.0,15.036674816625917,0.0
gRNA_5670,89,0,89,68,21,0,0,0,21,89,0,89,0,0.0,23.595505617977526,0.0,100.0,0.0,100.0,0.0
gRNA_5671,52,0,52,28,24,0,8,14,24,30,1,28,1,26.923076923076923,46.15384615384615,15.384615384615385,57.692307692307686,1.9230769230769231,53.84615384615385,1.9230769230769231
gRNA_5672,347,0,347,44,302,1,1,0,302,346,0,345,1,0.0,87.03170028818444,0.2881844380403458,99.71181556195965,0.0,99.42363112391931,0.2881844380403458
gRNA_5673,25,0,25,23,2,0,14,2,2,9,0,9,0,8.0,8.0,56.00000000000001,36.0,0.0,36.0,0.0
gRNA_5674,24,0,24,24,0,0,1,0,0,23,0,23,0,0.0,0.0,4.166666666666666,95.83333333333334,0.0,95.83333333333334,0.0
gRNA_5675,17,12,5,5,0,0,3,0,0,2,0,2,0,0.0,0.0,60.0,40.0,0.0,40.0,0.0
gRNA_5676,106,0,106,66,37,3,1,4,37,101,52,43,6,3.7735849056603774,34.90566037735849,0.9433962264150944,95.28301886792453,49.056603773584904,40.56603773584906,5.660377358490567
gRNA_5677,911,0,911,0,907,4,0,0,907,911,1,905,5,0.0,99.5609220636663,0.0,100.0,0.10976948408342481,99.34138309549945,0.5488474204171241
gRNA_5678,629,0,629,147,481,1,0,0,481,629,142,480,7,0.0,76.47058823529412,0.0,100.0,22.575516693163753,76.31160572337043,1.1128775834658187
gRNA_5679,522,0,522,0,519,3,0,0,519,522,0,519,3,0.0,99.42528735632183,0.0,100.0,0.0,99.42528735632183,0.5747126436781609
gRNA_568,620,0,620,582,38,0,343,28,38,249,2,247,0,4.516129032258064,6.129032258064516,55.32258064516129,40.16129032258065,0.3225806451612903,39.83870967741935,0.0
gRNA_5680,10,0,10,1,9,0,0,0,9,10,0,10,0,0.0,90.0,0.0,100.0,0.0,100.0,0.0
gRNA_5681,718,0,718,143,574,1,1,0,574,717,126,585,6,0.0,79.94428969359332,0.1392757660167131,99.86072423398329,17.548746518105848,81.47632311977716,0.8356545961002786
gRNA_5682,20,4,16,0,15,1,0,0,15,16,0,14,2,0.0,93.75,0.0,100.0,0.0,87.5,12.5
gRNA_5683,91,0,91,3,88,0,3,0,88,88,0,87,1,0.0,96.7032967032967,3.296703296703297,96.7032967032967,0.0,95.6043956043956,1.098901098901099
gRNA_5684,500,0,500,1,499,0,0,125,499,375,0,375,0,25.0,99.8,0.0,75.0,0.0,75.0,0.0
gRNA_5685,70,0,70,0,70,0,0,0,70,70,0,70,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_5686,118,0,118,116,0,2,15,0,0,103,0,101,2,0.0,0.0,12.711864406779661,87.28813559322035,0.0,85.59322033898306,1.694915254237288
