Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10,96,0,96,18,78,0,4,29,78,63,0,63,0,30.208333333333332,81.25,4.166666666666666,65.625,0.0,65.625,0.0
gRNA_100,198,0,198,197,0,1,174,0,0,24,1,22,1,0.0,0.0,87.87878787878788,12.121212121212121,0.5050505050505051,11.11111111111111,0.5050505050505051
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10000,132,0,132,132,0,0,1,0,0,131,0,131,0,0.0,0.0,0.7575757575757576,99.24242424242425,0.0,99.24242424242425,0.0
gRNA_10001,3080,0,3080,3074,0,6,0,0,0,3080,0,3066,14,0.0,0.0,0.0,100.0,0.0,99.54545454545455,0.45454545454545453
gRNA_10002,180,0,180,179,0,1,11,0,0,169,0,167,2,0.0,0.0,6.111111111111111,93.88888888888889,0.0,92.77777777777779,1.1111111111111112
gRNA_10003,2,0,2,1,1,0,0,0,1,2,0,2,0,0.0,50.0,0.0,100.0,0.0,100.0,0.0
gRNA_10004,21,0,21,21,0,0,0,0,0,21,0,21,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10005,286,0,286,286,0,0,190,0,0,96,0,96,0,0.0,0.0,66.43356643356644,33.56643356643357,0.0,33.56643356643357,0.0
gRNA_10006,165,0,165,162,3,0,17,2,3,146,0,146,0,1.2121212121212122,1.8181818181818181,10.303030303030303,88.48484848484848,0.0,88.48484848484848,0.0
gRNA_10007,76,0,76,68,6,2,5,0,6,71,0,69,2,0.0,7.894736842105263,6.578947368421052,93.42105263157895,0.0,90.78947368421053,2.631578947368421
gRNA_10008,790,0,790,0,788,2,0,122,788,668,0,666,2,15.443037974683543,99.74683544303798,0.0,84.55696202531645,0.0,84.30379746835443,0.25316455696202533
gRNA_10009,520,0,520,160,360,0,3,176,360,341,1,338,2,33.84615384615385,69.23076923076923,0.576923076923077,65.57692307692308,0.19230769230769232,65.0,0.38461538461538464
gRNA_1001,4,0,4,4,0,0,0,0,0,4,0,4,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10010,12,0,12,7,5,0,0,0,5,12,0,12,0,0.0,41.66666666666667,0.0,100.0,0.0,100.0,0.0
gRNA_10011,267,0,267,0,267,0,0,152,267,115,0,115,0,56.92883895131086,100.0,0.0,43.07116104868914,0.0,43.07116104868914,0.0
gRNA_10012,691,0,691,5,686,0,0,5,686,686,2,683,1,0.723589001447178,99.27641099855282,0.0,99.27641099855282,0.2894356005788712,98.84225759768451,0.1447178002894356
gRNA_10013,515,0,515,475,40,0,113,28,40,374,1,372,1,5.436893203883495,7.766990291262135,21.941747572815533,72.62135922330097,0.1941747572815534,72.23300970873787,0.1941747572815534
gRNA_10014,2703,2,2701,137,2564,0,1,368,2564,2332,3,2316,13,13.624583487597185,94.92780451684561,0.037023324694557574,86.33839318770825,0.11106997408367272,85.74601999259534,0.4813032210292484
gRNA_10015,439,0,439,411,28,0,36,21,28,382,0,382,0,4.783599088838269,6.378132118451026,8.200455580865604,87.01594533029613,0.0,87.01594533029613,0.0
gRNA_10016,320,0,320,20,300,0,0,110,300,210,4,206,0,34.375,93.75,0.0,65.625,1.25,64.375,0.0
gRNA_10017,10,0,10,0,10,0,0,2,10,8,0,8,0,20.0,100.0,0.0,80.0,0.0,80.0,0.0
gRNA_10018,87,0,87,25,62,0,2,46,62,39,0,39,0,52.87356321839081,71.26436781609196,2.2988505747126435,44.827586206896555,0.0,44.827586206896555,0.0
gRNA_10019,3774,0,3774,3521,250,3,60,53,250,3661,5,3653,3,1.404345521992581,6.624271330153683,1.5898251192368837,97.00582935877054,0.13248542660307366,96.79385267620562,0.0794912559618442
gRNA_1002,27,0,27,19,8,0,0,5,8,22,11,3,8,18.51851851851852,29.629629629629626,0.0,81.48148148148148,40.74074074074074,11.11111111111111,29.629629629629626
gRNA_10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10021,40,0,40,0,40,0,0,18,40,22,0,22,0,45.0,100.0,0.0,55.00000000000001,0.0,55.00000000000001,0.0
gRNA_10022,3023,0,3023,884,2137,2,1,0,2137,3022,1,3010,11,0.0,70.69136619252399,0.03307972213033411,99.96692027786966,0.03307972213033411,99.56996361230566,0.36387694343367516
gRNA_10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10024,251,0,251,0,251,0,0,0,251,251,0,250,1,0.0,100.0,0.0,100.0,0.0,99.60159362549801,0.398406374501992
gRNA_10025,574,0,574,443,131,0,64,0,131,510,1,508,1,0.0,22.822299651567945,11.149825783972126,88.85017421602788,0.17421602787456447,88.50174216027874,0.17421602787456447
gRNA_10026,112,0,112,112,0,0,42,0,0,70,0,70,0,0.0,0.0,37.5,62.5,0.0,62.5,0.0
gRNA_10027,1379,0,1379,965,414,0,0,0,414,1379,1,1376,2,0.0,30.021754894851345,0.0,100.0,0.0725163161711385,99.78245105148659,0.145032632342277
gRNA_10028,123,0,123,2,121,0,1,108,121,14,0,14,0,87.8048780487805,98.3739837398374,0.8130081300813009,11.38211382113821,0.0,11.38211382113821,0.0
gRNA_10029,481,0,481,273,204,4,71,0,204,410,0,393,17,0.0,42.41164241164241,14.760914760914762,85.23908523908524,0.0,81.70478170478171,3.5343035343035343
gRNA_1003,15,0,15,15,0,0,0,0,0,15,0,7,8,0.0,0.0,0.0,100.0,0.0,46.666666666666664,53.333333333333336
gRNA_10030,256,1,255,2,250,3,0,117,250,138,1,133,4,45.88235294117647,98.0392156862745,0.0,54.11764705882353,0.39215686274509803,52.156862745098046,1.5686274509803921
gRNA_10031,654,0,654,654,0,0,37,0,0,617,1,614,2,0.0,0.0,5.657492354740061,94.34250764525994,0.1529051987767584,93.88379204892966,0.3058103975535168
gRNA_10032,22,0,22,14,7,1,0,0,7,22,0,7,15,0.0,31.818181818181817,0.0,100.0,0.0,31.818181818181817,68.18181818181817
gRNA_10033,177,0,177,84,93,0,0,0,93,177,0,94,83,0.0,52.54237288135594,0.0,100.0,0.0,53.10734463276836,46.89265536723164
gRNA_10034,1,0,1,0,1,0,0,0,1,1,0,1,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10035,398,0,398,256,142,0,211,112,142,75,1,74,0,28.14070351758794,35.678391959798994,53.015075376884425,18.84422110552764,0.25125628140703515,18.592964824120603,0.0
gRNA_10036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10037,154,0,154,28,126,0,0,7,126,147,0,147,0,4.545454545454546,81.81818181818183,0.0,95.45454545454545,0.0,95.45454545454545,0.0
gRNA_10038,312,0,312,235,77,0,12,35,77,265,0,265,0,11.217948717948719,24.679487179487182,3.8461538461538463,84.93589743589743,0.0,84.93589743589743,0.0
gRNA_10039,10,0,10,0,10,0,0,0,10,10,0,10,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1004,919,0,919,914,0,5,7,0,0,912,0,905,7,0.0,0.0,0.7616974972796519,99.23830250272034,0.0,98.4766050054407,0.7616974972796519
gRNA_10040,354,189,165,165,0,0,0,0,0,165,0,165,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10041,258,0,258,3,255,0,0,0,255,258,0,258,0,0.0,98.83720930232558,0.0,100.0,0.0,100.0,0.0
gRNA_10042,175,0,175,92,82,1,0,1,82,174,0,120,54,0.5714285714285714,46.85714285714286,0.0,99.42857142857143,0.0,68.57142857142857,30.857142857142854
gRNA_10043,1435,0,1435,274,1147,14,0,0,1147,1435,0,1241,194,0.0,79.93031358885018,0.0,100.0,0.0,86.4808362369338,13.519163763066203
gRNA_10044,101,0,101,1,100,0,0,0,100,101,0,100,1,0.0,99.00990099009901,0.0,100.0,0.0,99.00990099009901,0.9900990099009901
gRNA_10045,251,2,249,0,248,1,0,4,248,245,0,244,1,1.6064257028112447,99.59839357429718,0.0,98.39357429718876,0.0,97.99196787148594,0.4016064257028112
gRNA_10046,272,0,272,11,261,0,5,0,261,267,0,267,0,0.0,95.95588235294117,1.8382352941176472,98.16176470588235,0.0,98.16176470588235,0.0
gRNA_10047,571,0,571,193,378,0,67,272,378,232,0,231,1,47.635726795096325,66.19964973730298,11.733800350262696,40.63047285464098,0.0,40.4553415061296,0.17513134851138354
gRNA_10048,196,0,196,113,83,0,0,0,83,196,0,196,0,0.0,42.3469387755102,0.0,100.0,0.0,100.0,0.0
gRNA_10049,98,0,98,0,98,0,0,89,98,9,0,9,0,90.81632653061224,100.0,0.0,9.183673469387756,0.0,9.183673469387756,0.0
gRNA_1005,1174,0,1174,1173,0,1,716,0,0,458,3,453,2,0.0,0.0,60.98807495741057,39.01192504258944,0.2555366269165247,38.58603066439523,0.17035775127768313
gRNA_10050,1467,0,1467,768,0,699,139,0,0,1328,0,626,702,0.0,0.0,9.475119291070211,90.52488070892979,0.0,42.67211997273347,47.85276073619632
gRNA_10051,253,1,252,239,0,13,224,0,0,28,1,14,13,0.0,0.0,88.88888888888889,11.11111111111111,0.3968253968253968,5.555555555555555,5.158730158730158
gRNA_10052,38,7,31,30,0,1,0,0,0,31,0,30,1,0.0,0.0,0.0,100.0,0.0,96.7741935483871,3.225806451612903
gRNA_10053,262,0,262,262,0,0,16,0,0,246,0,246,0,0.0,0.0,6.106870229007633,93.89312977099237,0.0,93.89312977099237,0.0
gRNA_10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10055,8,0,8,0,8,0,0,1,8,7,1,6,0,12.5,100.0,0.0,87.5,12.5,75.0,0.0
gRNA_10056,85,0,85,35,50,0,9,0,50,76,0,76,0,0.0,58.82352941176471,10.588235294117647,89.41176470588236,0.0,89.41176470588236,0.0
gRNA_10057,316,0,316,316,0,0,206,0,0,110,0,110,0,0.0,0.0,65.18987341772153,34.810126582278485,0.0,34.810126582278485,0.0
gRNA_10058,84,0,84,84,0,0,24,0,0,60,0,60,0,0.0,0.0,28.57142857142857,71.42857142857143,0.0,71.42857142857143,0.0
gRNA_10059,343,0,343,336,7,0,189,4,7,150,0,150,0,1.1661807580174928,2.0408163265306123,55.10204081632652,43.731778425655975,0.0,43.731778425655975,0.0
gRNA_1006,253,0,253,10,243,0,6,0,243,247,0,245,2,0.0,96.04743083003953,2.371541501976284,97.62845849802372,0.0,96.83794466403161,0.7905138339920948
gRNA_10060,112,0,112,0,98,14,0,0,98,112,0,98,14,0.0,87.5,0.0,100.0,0.0,87.5,12.5
gRNA_10061,65,0,65,47,18,0,30,16,18,19,0,19,0,24.615384615384617,27.692307692307693,46.15384615384615,29.230769230769234,0.0,29.230769230769234,0.0
gRNA_10062,429,100,329,39,288,2,10,112,288,207,0,205,2,34.04255319148936,87.53799392097264,3.0395136778115504,62.91793313069909,0.0,62.31003039513677,0.60790273556231
gRNA_10063,1297,7,1290,0,1287,3,0,1,1287,1289,0,1286,3,0.07751937984496124,99.76744186046511,0.0,99.92248062015504,0.0,99.68992248062015,0.23255813953488372
gRNA_10064,50,0,50,42,8,0,0,4,8,46,0,46,0,8.0,16.0,0.0,92.0,0.0,92.0,0.0
gRNA_10065,42,0,42,0,42,0,0,4,42,38,0,32,6,9.523809523809524,100.0,0.0,90.47619047619048,0.0,76.19047619047619,14.285714285714285
gRNA_10066,134,0,134,78,56,0,24,0,56,110,0,110,0,0.0,41.7910447761194,17.91044776119403,82.08955223880598,0.0,82.08955223880598,0.0
gRNA_10067,189,0,189,2,187,0,0,0,187,189,0,188,1,0.0,98.94179894179894,0.0,100.0,0.0,99.47089947089947,0.5291005291005291
gRNA_10068,19,0,19,1,18,0,0,0,18,19,0,19,0,0.0,94.73684210526315,0.0,100.0,0.0,100.0,0.0
gRNA_10069,164,0,164,8,155,1,0,0,155,164,0,162,2,0.0,94.51219512195121,0.0,100.0,0.0,98.78048780487805,1.2195121951219512
gRNA_1007,2184,0,2184,2182,0,2,497,0,0,1687,1,1684,2,0.0,0.0,22.756410256410255,77.24358974358975,0.045787545787545784,77.10622710622711,0.09157509157509157
gRNA_10070,532,0,532,507,25,0,0,0,25,532,0,530,2,0.0,4.6992481203007515,0.0,100.0,0.0,99.62406015037594,0.37593984962406013
gRNA_10071,110,0,110,106,4,0,0,0,4,110,0,109,1,0.0,3.6363636363636362,0.0,100.0,0.0,99.0909090909091,0.9090909090909091
gRNA_10072,862,0,862,852,10,0,76,5,10,781,1,778,2,0.580046403712297,1.160092807424594,8.816705336426914,90.60324825986079,0.11600928074245939,90.25522041763341,0.23201856148491878
gRNA_10073,156,0,156,45,110,1,25,4,110,127,0,125,2,2.564102564102564,70.51282051282051,16.025641025641026,81.41025641025641,0.0,80.12820512820514,1.282051282051282
gRNA_10074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10075,119,0,119,119,0,0,0,0,0,119,0,119,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10076,134,0,134,134,0,0,74,0,0,60,0,60,0,0.0,0.0,55.223880597014926,44.776119402985074,0.0,44.776119402985074,0.0
gRNA_10077,267,10,257,257,0,0,186,0,0,71,0,70,1,0.0,0.0,72.37354085603113,27.626459143968873,0.0,27.237354085603112,0.38910505836575876
gRNA_10078,33,0,33,19,14,0,5,3,14,25,0,25,0,9.090909090909092,42.42424242424242,15.151515151515152,75.75757575757575,0.0,75.75757575757575,0.0
gRNA_10079,542,1,541,424,117,0,49,51,117,441,1,440,0,9.426987060998151,21.626617375231053,9.057301293900185,81.51571164510166,0.18484288354898337,81.33086876155268,0.0
gRNA_1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10080,294,0,294,1,211,82,0,0,211,294,0,212,82,0.0,71.7687074829932,0.0,100.0,0.0,72.10884353741497,27.89115646258503
gRNA_10081,7,0,7,3,2,2,0,0,2,7,0,4,3,0.0,28.57142857142857,0.0,100.0,0.0,57.14285714285714,42.857142857142854
gRNA_10082,445,0,445,412,32,1,93,1,32,351,1,349,1,0.22471910112359553,7.191011235955057,20.89887640449438,78.87640449438203,0.22471910112359553,78.42696629213484,0.22471910112359553
gRNA_10083,362,0,362,17,343,2,5,104,343,253,0,251,2,28.7292817679558,94.7513812154696,1.3812154696132597,69.88950276243095,0.0,69.33701657458563,0.5524861878453038
gRNA_10084,212,0,212,193,19,0,8,3,19,201,111,79,11,1.4150943396226416,8.962264150943396,3.7735849056603774,94.81132075471697,52.358490566037744,37.264150943396224,5.188679245283019
gRNA_10085,328,0,328,3,325,0,1,259,325,68,1,67,0,78.96341463414635,99.08536585365853,0.3048780487804878,20.73170731707317,0.3048780487804878,20.426829268292682,0.0
gRNA_10086,161,0,161,12,149,0,0,0,149,161,0,161,0,0.0,92.54658385093167,0.0,100.0,0.0,100.0,0.0
gRNA_10087,202,5,197,0,196,1,0,0,196,197,0,196,1,0.0,99.49238578680203,0.0,100.0,0.0,99.49238578680203,0.5076142131979695
gRNA_10088,38,0,38,0,38,0,0,0,38,38,0,1,37,0.0,100.0,0.0,100.0,0.0,2.631578947368421,97.36842105263158
gRNA_10089,923,0,923,40,883,0,0,0,883,923,0,923,0,0.0,95.66630552546046,0.0,100.0,0.0,100.0,0.0
gRNA_1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10090,4,0,4,3,1,0,0,0,1,4,0,4,0,0.0,25.0,0.0,100.0,0.0,100.0,0.0
gRNA_10091,593,0,593,397,195,1,125,0,195,468,1,466,1,0.0,32.88364249578415,21.079258010118043,78.92074198988196,0.16863406408094433,78.58347386172007,0.16863406408094433
gRNA_10092,61,0,61,3,58,0,0,23,58,38,0,38,0,37.704918032786885,95.08196721311475,0.0,62.295081967213115,0.0,62.295081967213115,0.0
gRNA_10093,268,0,268,266,0,2,6,0,0,262,0,260,2,0.0,0.0,2.2388059701492535,97.76119402985076,0.0,97.01492537313433,0.7462686567164178
gRNA_10094,234,0,234,233,1,0,37,0,1,197,0,197,0,0.0,0.4273504273504274,15.81196581196581,84.1880341880342,0.0,84.1880341880342,0.0
gRNA_10095,142,0,142,74,68,0,0,0,68,142,0,142,0,0.0,47.88732394366197,0.0,100.0,0.0,100.0,0.0
gRNA_10096,3,0,3,3,0,0,0,0,0,3,0,3,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10097,47,0,47,33,14,0,0,0,14,47,0,47,0,0.0,29.78723404255319,0.0,100.0,0.0,100.0,0.0
gRNA_10098,312,0,312,13,298,1,0,0,298,312,0,311,1,0.0,95.51282051282051,0.0,100.0,0.0,99.67948717948718,0.3205128205128205
gRNA_10099,62,0,62,0,62,0,0,3,62,59,0,58,1,4.838709677419355,100.0,0.0,95.16129032258065,0.0,93.54838709677419,1.6129032258064515
gRNA_101,9,0,9,9,0,0,8,0,0,1,0,1,0,0.0,0.0,88.88888888888889,11.11111111111111,0.0,11.11111111111111,0.0
gRNA_1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10100,322,0,322,1,321,0,1,211,321,110,0,110,0,65.527950310559,99.68944099378882,0.3105590062111801,34.161490683229815,0.0,34.161490683229815,0.0
gRNA_10101,205,0,205,1,204,0,1,173,204,31,0,31,0,84.39024390243902,99.51219512195122,0.4878048780487805,15.121951219512194,0.0,15.121951219512194,0.0
gRNA_10102,158,0,158,0,152,6,0,0,152,158,0,150,8,0.0,96.20253164556962,0.0,100.0,0.0,94.9367088607595,5.063291139240507
gRNA_10103,784,0,784,657,124,3,0,0,124,784,1,777,6,0.0,15.816326530612246,0.0,100.0,0.12755102040816327,99.10714285714286,0.7653061224489796
gRNA_10104,99,0,99,98,1,0,27,1,1,71,0,71,0,1.0101010101010102,1.0101010101010102,27.27272727272727,71.71717171717171,0.0,71.71717171717171,0.0
gRNA_10105,10,0,10,1,9,0,0,0,9,10,0,10,0,0.0,90.0,0.0,100.0,0.0,100.0,0.0
gRNA_10106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10108,279,0,279,104,175,0,0,0,175,279,0,277,2,0.0,62.72401433691756,0.0,100.0,0.0,99.2831541218638,0.7168458781362007
gRNA_10109,886,0,886,33,853,0,29,0,853,857,0,857,0,0.0,96.27539503386005,3.2731376975169297,96.72686230248307,0.0,96.72686230248307,0.0
gRNA_1011,22,0,22,22,0,0,0,0,0,22,0,22,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10110,387,0,387,16,370,1,15,0,370,372,0,370,2,0.0,95.60723514211887,3.875968992248062,96.12403100775194,0.0,95.60723514211887,0.516795865633075
gRNA_10111,55,0,55,43,12,0,0,0,12,55,0,55,0,0.0,21.818181818181817,0.0,100.0,0.0,100.0,0.0
gRNA_10112,25,0,25,0,25,0,0,0,25,25,0,25,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10113,651,0,651,651,0,0,213,0,0,438,0,437,1,0.0,0.0,32.71889400921659,67.2811059907834,0.0,67.12749615975423,0.15360983102918588
gRNA_10114,573,0,573,572,0,1,280,0,0,293,3,289,1,0.0,0.0,48.86561954624782,51.13438045375218,0.5235602094240838,50.43630017452006,0.17452006980802792
gRNA_10115,735,0,735,733,0,2,18,0,0,717,0,711,6,0.0,0.0,2.4489795918367347,97.55102040816327,0.0,96.73469387755102,0.8163265306122449
gRNA_10116,3,0,3,2,1,0,0,0,1,3,0,3,0,0.0,33.33333333333333,0.0,100.0,0.0,100.0,0.0
gRNA_10117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10119,652,0,652,652,0,0,372,0,0,280,0,279,1,0.0,0.0,57.05521472392638,42.944785276073624,0.0,42.79141104294479,0.15337423312883436
gRNA_1012,22,0,22,22,0,0,3,0,0,19,0,19,0,0.0,0.0,13.636363636363635,86.36363636363636,0.0,86.36363636363636,0.0
gRNA_10120,115,0,115,115,0,0,5,0,0,110,0,108,2,0.0,0.0,4.3478260869565215,95.65217391304348,0.0,93.91304347826087,1.7391304347826086
gRNA_10121,330,0,330,25,305,0,9,113,305,208,0,208,0,34.24242424242424,92.42424242424242,2.727272727272727,63.030303030303024,0.0,63.030303030303024,0.0
gRNA_10122,326,0,326,325,0,1,280,0,0,46,2,43,1,0.0,0.0,85.88957055214725,14.11042944785276,0.6134969325153374,13.190184049079754,0.3067484662576687
gRNA_10123,1447,0,1447,1314,132,1,13,1,132,1433,2,1430,1,0.0691085003455425,9.12232204561161,0.8984105044920525,99.0324809951624,0.138217000691085,98.82515549412578,0.0691085003455425
gRNA_10124,120,0,120,119,0,1,41,0,0,79,0,78,1,0.0,0.0,34.166666666666664,65.83333333333333,0.0,65.0,0.8333333333333334
gRNA_10125,47,0,47,15,32,0,0,18,32,29,0,29,0,38.297872340425535,68.08510638297872,0.0,61.702127659574465,0.0,61.702127659574465,0.0
gRNA_10126,23,0,23,2,21,0,0,0,21,23,0,23,0,0.0,91.30434782608695,0.0,100.0,0.0,100.0,0.0
gRNA_10127,938,0,938,937,0,1,0,0,0,938,0,935,3,0.0,0.0,0.0,100.0,0.0,99.68017057569296,0.31982942430703626
gRNA_10128,887,0,887,338,547,2,0,0,547,887,0,882,5,0.0,61.668545659526494,0.0,100.0,0.0,99.43630214205186,0.5636978579481398
gRNA_10129,27,0,27,1,26,0,0,0,26,27,0,27,0,0.0,96.29629629629629,0.0,100.0,0.0,100.0,0.0
