Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,100.0,13,13,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13832
HDR,0.0,100.0,13,13,10,0,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_13832
Reference,0.0,100.0,71,71,71,0,71,0,0,0,71,0,0,71,0,0,0,0,gRNA_13833
HDR,,,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13833
Reference,0.0,100.0,255,255,255,0,255,0,0,1,255,0,0,254,0,0,1,0,gRNA_13834
HDR,,,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13834
Reference,0.0,100.0,1597,1597,119,0,119,0,0,0,119,0,0,119,0,0,0,0,gRNA_13835
HDR,0.0,100.0,1597,1597,1478,0,1478,0,0,4,1478,0,0,1474,0,0,4,0,gRNA_13835
Reference,0.0,100.0,717,717,716,0,716,0,0,0,716,0,0,716,0,0,0,0,gRNA_13836
HDR,0.0,100.0,717,717,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13836
Reference,0.0,100.0,4558,4558,13,0,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_13837
HDR,0.0,100.0,4558,4558,4194,0,4194,0,0,4,4194,0,0,4190,0,0,4,0,gRNA_13837
Reference,0.0,100.0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,gRNA_13838
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13838
Reference,0.30487805,99.69512195,426,426,328,1,327,0,0,1,327,0,0,326,0,0,1,0,gRNA_13839
HDR,9.375,90.625,426,426,96,9,87,0,0,0,87,0,0,87,0,0,0,0,gRNA_13839
