Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13832
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13832
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13833
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13833
Reference,0.0,100.0,9,9,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13834
HDR,0.0,100.0,9,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13834
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13835
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13835
Reference,0.0,100.0,64,64,63,0,63,0,0,0,63,0,0,63,0,0,0,0,gRNA_13836
HDR,0.0,100.0,64,64,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13836
Reference,0.0,100.0,103,103,98,0,98,0,0,1,98,0,0,97,0,0,1,0,gRNA_13837
HDR,0.0,100.0,103,103,5,0,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_13837
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13838
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13838
Reference,0.0,100.0,54,54,53,0,53,0,0,1,53,0,0,52,0,0,1,0,gRNA_13839
HDR,0.0,100.0,54,54,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13839
Reference,0.0,100.0,8,8,7,0,7,0,1,0,6,1,0,6,0,0,0,0,gRNA_13840
HDR,0.0,100.0,8,8,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13840
Reference,0.0,100.0,9,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13841
HDR,0.0,100.0,9,9,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13841
Reference,0.0,100.0,38,38,37,0,37,0,0,0,37,0,0,37,0,0,0,0,gRNA_13842
HDR,100.0,0.0,38,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13842
Reference,0.0,100.0,35,35,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13843
HDR,52.94117647,47.05882353,35,35,34,18,16,0,0,0,16,0,0,16,0,0,0,0,gRNA_13843
Reference,20.0,80.0,5,5,5,1,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13844
HDR,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13844
Reference,100.0,0.0,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13845
HDR,83.33333333,16.66666667,7,7,6,5,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13845
Reference,50.0,50.0,2,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13846
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13846
Reference,0.0,100.0,16361,14101,26,0,26,0,0,1,25,0,1,25,0,0,0,0,gRNA_13847
HDR,29.83641536,70.16358464,16361,14101,14060,4195,9865,0,1,84,9798,0,67,9780,0,1,17,0,gRNA_13847
Reference,0.0,100.0,3100,3100,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13848
HDR,0.0,100.0,3100,3100,3095,0,3095,0,0,22,3095,0,0,3073,0,0,22,0,gRNA_13848
Reference,0.0,100.0,11,11,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13849
HDR,0.0,100.0,11,11,9,0,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_13849
Reference,0.0,100.0,4,4,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13850
HDR,0.0,100.0,4,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13850
Reference,10.95890411,89.04109589,77,77,73,8,65,0,0,0,65,0,0,65,0,0,0,0,gRNA_13851
HDR,33.33333333,66.66666667,77,77,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13851
Reference,0.0,100.0,9,9,9,0,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_13852
HDR,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13852
Reference,0.00645405,99.99354595,108823,108823,108459,7,108452,0,1,787,108382,0,70,107664,0,1,717,0,gRNA_13853
HDR,0.0,100.0,108823,108823,112,0,112,0,0,8,109,0,3,104,0,0,5,0,gRNA_13853
Reference,12.5,87.5,8,8,8,1,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_13854
HDR,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13854
Reference,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13855
HDR,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13855
Reference,0.0,100.0,17,17,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13856
HDR,31.25,68.75,17,17,16,5,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_13856
Reference,2.30414747,97.69585253,218,218,217,5,212,0,0,2,211,0,1,210,0,0,1,0,gRNA_13857
HDR,,,218,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13857
Reference,57.78443114,42.21556886,2675,2675,2672,1544,1128,0,0,9,1123,0,5,1119,0,0,4,0,gRNA_13858
HDR,,,2675,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13858
Reference,28.57142857,71.42857143,7,7,7,2,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_13859
HDR,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13859
Reference,100.0,0.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13860
HDR,100.0,0.0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13860
Reference,71.42857143,28.57142857,15,15,7,5,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13861
HDR,75.0,25.0,15,15,8,6,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13861
Reference,0.0,100.0,12,10,9,0,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_13862
HDR,,,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13862
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13863
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13863
Reference,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13864
HDR,0.0,100.0,3,3,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13864
Reference,0.0,100.0,2,2,2,0,2,0,0,1,2,0,0,1,0,0,1,0,gRNA_13865
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13865
Reference,0.0,100.0,29,29,29,0,29,0,0,0,29,0,0,29,0,0,0,0,gRNA_13866
HDR,,,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13866
Reference,,,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13867
HDR,8.16326531,91.83673469,98,98,98,8,90,0,0,0,90,0,0,90,0,0,0,0,gRNA_13867
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13868
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13868
Reference,0.0,100.0,34,34,19,0,19,0,0,0,19,0,0,19,0,0,0,0,gRNA_13869
HDR,0.0,100.0,34,34,15,0,15,0,0,0,15,0,0,15,0,0,0,0,gRNA_13869
Reference,2.04081633,97.95918367,49,49,49,1,48,0,0,0,48,0,0,48,0,0,0,0,gRNA_13870
HDR,,,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13870
Reference,0.0,100.0,148,148,128,0,128,0,0,3,128,0,0,125,0,0,3,0,gRNA_13871
HDR,0.0,100.0,148,148,20,0,20,0,0,0,20,0,0,20,0,0,0,0,gRNA_13871
Reference,3.40557276,96.59442724,324,324,323,11,312,0,0,37,276,0,36,275,0,0,1,0,gRNA_13872
HDR,0.0,100.0,324,324,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13872
Reference,50.0,50.0,11,11,6,3,3,0,0,1,2,0,1,2,0,0,0,0,gRNA_13873
HDR,60.0,40.0,11,11,5,3,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13873
Reference,82.57164988,17.42835012,2588,2588,2582,2132,450,0,1,15,437,1,12,434,0,0,3,0,gRNA_13874
HDR,100.0,0.0,2588,2588,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13874
Reference,0.0,100.0,7991,7991,4,0,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13875
HDR,25.81777165,74.18222835,7991,7991,7979,2060,5919,0,0,47,5888,0,31,5872,0,0,16,0,gRNA_13875
Reference,51.76962378,48.23037622,10793,10793,10765,5573,5192,0,0,81,5129,0,63,5111,0,0,18,0,gRNA_13876
HDR,58.33333333,41.66666667,10793,10793,12,7,5,0,0,1,4,0,1,4,0,0,0,0,gRNA_13876
Reference,61.53846154,38.46153846,28,28,13,8,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_13877
HDR,86.66666667,13.33333333,28,28,15,13,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13877
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13878
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13878
Reference,33.33333333,66.66666667,7,7,6,2,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13879
HDR,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13879
Reference,33.33333333,66.66666667,9,9,9,3,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_13880
HDR,,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13880
Reference,25.0,75.0,11,11,4,1,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13881
HDR,57.14285714,42.85714286,11,11,7,4,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13881
Reference,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13882
HDR,33.33333333,66.66666667,3,3,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13882
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13883
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13883
Reference,50.0,50.0,2,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13884
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13884
Reference,,,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13885
HDR,67.24137931,32.75862069,58,58,58,39,19,0,0,0,19,0,0,19,0,0,0,0,gRNA_13885
Reference,20.0,80.0,6,6,5,1,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13886
HDR,0.0,100.0,6,6,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13886
Reference,15.78947368,84.21052632,19,19,19,3,16,0,0,0,16,0,0,16,0,0,0,0,gRNA_13887
HDR,,,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13887
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13888
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13888
Reference,,,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13889
HDR,38.63636364,61.36363636,45,45,44,17,27,0,0,0,27,0,0,27,0,0,0,0,gRNA_13889
Reference,34.92063492,65.07936508,64,64,63,22,41,0,0,0,41,0,0,41,0,0,0,0,gRNA_13890
HDR,100.0,0.0,64,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13890
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13891
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13891
Reference,0.0,100.0,23,23,22,0,22,0,0,0,22,0,0,22,0,0,0,0,gRNA_13892
HDR,,,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13892
Reference,0.04574565,99.95425435,2192,2192,2186,1,2185,0,0,7,2185,0,0,2178,0,0,7,0,gRNA_13893
HDR,0.0,100.0,2192,2192,2,0,2,0,0,1,2,0,0,1,0,0,1,0,gRNA_13893
Reference,0.0,100.0,16,16,16,0,16,0,1,0,16,0,0,15,0,1,0,0,gRNA_13894
HDR,,,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13894
Reference,0.0,100.0,8,8,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13895
HDR,,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13895
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13896
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13896
Reference,,,170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13897
HDR,0.0,100.0,170,170,170,0,170,0,3,1,167,3,0,166,0,0,1,0,gRNA_13897
Reference,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13898
HDR,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13898
Reference,9.17431193,90.82568807,222,222,218,20,198,0,0,12,193,0,5,186,0,0,7,0,gRNA_13899
HDR,,,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13899
Reference,0.0,100.0,32,32,31,0,31,0,0,0,31,0,0,31,0,0,0,0,gRNA_13900
HDR,0.0,100.0,32,32,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13900
Reference,40.0,60.0,15,15,15,6,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_13901
HDR,,,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13901
Reference,40.0,60.0,6,6,5,2,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13902
HDR,100.0,0.0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13902
Reference,0.0,100.0,23,23,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13903
HDR,0.0,100.0,23,23,21,0,21,0,0,0,21,0,0,21,0,0,0,0,gRNA_13903
Reference,35.71428571,64.28571429,117,117,98,35,63,0,0,0,63,0,0,63,0,0,0,0,gRNA_13904
HDR,47.36842105,52.63157895,117,117,19,9,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_13904
Reference,50.0,50.0,2,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13905
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13905
Reference,1.81818182,98.18181818,55,55,55,1,54,0,0,1,53,0,1,53,0,0,0,0,gRNA_13906
HDR,,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13906
