Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13832
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13832
Reference,0.1396648,99.8603352,717,717,716,1,715,0,0,1,715,0,0,714,0,0,1,0,gRNA_13833
HDR,,,717,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13833
Reference,0.0,100.0,23,23,22,0,22,0,12,0,10,12,0,10,0,0,0,0,gRNA_13834
HDR,0.0,100.0,23,23,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13834
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13835
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13835
Reference,0.0,100.0,12,12,11,0,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_13836
HDR,0.0,100.0,12,12,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13836
Reference,0.0,100.0,180,179,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13837
HDR,0.0,100.0,180,179,178,0,178,0,0,0,178,0,0,178,0,0,0,0,gRNA_13837
Reference,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13838
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13838
Reference,0.0,100.0,297,297,297,0,297,0,0,3,297,0,0,294,0,0,3,0,gRNA_13839
HDR,,,297,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13839
Reference,0.79681275,99.20318725,253,253,251,2,249,0,1,1,248,0,0,248,1,0,0,0,gRNA_13840
HDR,,,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13840
Reference,0.0,100.0,9732,9732,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13841
HDR,0.0205719,99.9794281,9732,9732,9722,2,9720,0,0,32,9719,0,1,9688,0,0,31,0,gRNA_13841
Reference,4.83180428,95.16819572,1640,1640,1635,79,1556,0,0,8,1550,0,6,1548,0,0,2,0,gRNA_13842
HDR,0.0,100.0,1640,1640,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13842
Reference,,,2482,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13843
HDR,65.57707829,34.42292171,2482,2482,2478,1625,853,0,0,1,852,0,1,852,0,0,0,0,gRNA_13843
Reference,2.62529833,97.37470167,2102,2102,2095,55,2040,0,0,3,2039,0,1,2037,0,0,2,0,gRNA_13844
HDR,0.0,100.0,2102,2102,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13844
Reference,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13845
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13845
Reference,25.0,75.0,5,5,4,1,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13846
HDR,100.0,0.0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13846
Reference,10.50228311,89.49771689,227,226,219,23,196,0,0,0,196,0,0,196,0,0,0,0,gRNA_13847
HDR,0.0,100.0,227,226,7,0,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_13847
Reference,15.2173913,84.7826087,150,150,138,21,117,0,0,1,116,0,1,116,0,0,0,0,gRNA_13848
HDR,27.27272727,72.72727273,150,150,11,3,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13848
Reference,0.0,100.0,10,10,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13849
HDR,11.11111111,88.88888889,10,10,9,1,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13849
Reference,2.03160271,97.96839729,445,445,443,9,434,0,0,1,433,0,1,433,0,0,0,0,gRNA_13850
HDR,100.0,0.0,445,445,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13850
Reference,20.0,80.0,9,9,5,1,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13851
HDR,66.66666667,33.33333333,9,9,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13851
Reference,33.33333333,66.66666667,3,3,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13852
HDR,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13852
Reference,0.0,100.0,66,66,65,0,65,0,0,0,65,0,0,65,0,0,0,0,gRNA_13853
HDR,0.0,100.0,66,66,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13853
Reference,7.44680851,92.55319149,94,94,94,7,87,0,0,0,87,0,0,87,0,0,0,0,gRNA_13854
HDR,,,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13854
Reference,0.0,100.0,4,4,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13855
HDR,0.0,100.0,4,4,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13855
Reference,0.0,100.0,999,998,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13856
HDR,34.60381143,65.39618857,999,998,997,345,652,0,0,0,652,0,0,652,0,0,0,0,gRNA_13856
Reference,2.78810409,97.21189591,539,539,538,15,523,0,0,0,523,0,0,523,0,0,0,0,gRNA_13857
HDR,0.0,100.0,539,539,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13857
Reference,57.14285714,42.85714286,7,7,7,4,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13858
HDR,,,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13858
Reference,71.42857143,28.57142857,28,28,28,20,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13859
HDR,,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13859
Reference,0.0,100.0,7,7,4,0,4,0,1,0,3,1,0,3,0,0,0,0,gRNA_13860
HDR,66.66666667,33.33333333,7,7,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13860
Reference,62.5,37.5,234,234,232,145,87,0,0,0,87,0,0,87,0,0,0,0,gRNA_13861
HDR,100.0,0.0,234,234,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13861
Reference,0.0,100.0,398,398,8,0,8,0,1,0,8,0,0,7,0,1,0,0,gRNA_13862
HDR,0.0,100.0,398,398,390,0,390,0,0,1,390,0,0,389,0,0,1,0,gRNA_13862
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13863
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13863
Reference,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13864
HDR,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13864
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13865
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13865
Reference,0.0,100.0,3,3,3,0,3,0,2,0,3,0,0,1,0,2,0,0,gRNA_13866
HDR,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13866
Reference,,,299,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13867
HDR,0.33444816,99.66555184,299,299,299,1,298,0,0,0,298,0,0,298,0,0,0,0,gRNA_13867
Reference,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13868
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13868
Reference,,,82,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13869
HDR,0.0,100.0,82,82,82,0,82,0,0,0,82,0,0,82,0,0,0,0,gRNA_13869
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13870
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13870
Reference,,,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13871
HDR,0.0,100.0,72,72,4,0,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13871
Reference,20.0,80.0,223,223,5,1,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13872
HDR,0.0,100.0,223,223,218,0,218,0,0,0,218,0,0,218,0,0,0,0,gRNA_13872
Reference,100.0,0.0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13873
HDR,33.33333333,66.66666667,4,4,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13873
Reference,100.0,0.0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13874
HDR,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13874
Reference,50.0,50.0,27,27,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13875
HDR,28.0,72.0,27,27,25,7,18,0,0,1,18,0,0,17,0,0,1,0,gRNA_13875
Reference,4.3062201,95.6937799,209,209,209,9,200,0,193,167,200,0,0,6,0,27,1,166,gRNA_13876
HDR,,,209,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13876
Reference,47.05882353,52.94117647,23,23,17,8,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_13877
HDR,66.66666667,33.33333333,23,23,6,4,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13877
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13878
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13878
Reference,0.0,100.0,6,6,6,0,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_13879
HDR,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13879
Reference,23.52941176,76.47058824,17,17,17,4,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_13880
HDR,,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13880
Reference,33.33333333,66.66666667,35,35,27,9,18,0,0,0,18,0,0,18,0,0,0,0,gRNA_13881
HDR,75.0,25.0,35,35,8,6,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13881
Reference,0.0,100.0,3,3,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13882
HDR,100.0,0.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13882
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13883
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13883
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13884
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13884
Reference,100.0,0.0,51,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13885
HDR,58.0,42.0,51,51,50,29,21,0,0,0,21,0,0,21,0,0,0,0,gRNA_13885
Reference,3.57142857,96.42857143,36,36,28,1,27,0,0,0,27,0,0,27,0,0,0,0,gRNA_13886
HDR,0.0,100.0,36,36,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13886
Reference,18.0,82.0,50,50,50,9,41,0,0,0,41,0,0,41,0,0,0,0,gRNA_13887
HDR,,,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13887
Reference,100.0,0.0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13888
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13888
Reference,0.0,100.0,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13889
HDR,100.0,0.0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13889
Reference,44.0,56.0,25,25,25,11,14,0,0,0,14,0,0,14,0,0,0,0,gRNA_13890
HDR,,,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13890
Reference,50.0,50.0,10,10,10,5,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_13891
HDR,,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13891
Reference,0.0,100.0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,gRNA_13892
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13892
Reference,0.0,100.0,20,20,13,0,13,0,2,0,13,0,0,11,0,2,0,0,gRNA_13893
HDR,0.0,100.0,20,20,7,0,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_13893
Reference,0.0,100.0,471,471,468,0,468,0,0,1,468,0,0,467,0,0,1,0,gRNA_13894
HDR,0.0,100.0,471,471,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13894
Reference,0.0,100.0,13,13,13,0,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_13895
HDR,,,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13895
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13896
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13896
Reference,,,565,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13897
HDR,0.0,100.0,565,565,565,0,565,0,3,2,562,3,0,560,0,0,2,0,gRNA_13897
Reference,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13898
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13898
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13899
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13899
Reference,2.51509054,97.48490946,1001,1001,994,25,969,0,0,0,969,0,0,969,0,0,0,0,gRNA_13900
HDR,0.0,100.0,1001,1001,4,0,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_13900
Reference,48.14814815,51.85185185,162,162,162,78,84,0,0,0,84,0,0,84,0,0,0,0,gRNA_13901
HDR,,,162,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13901
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13902
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13902
Reference,0.0,100.0,180,180,6,0,6,0,0,1,5,0,1,5,0,0,0,0,gRNA_13903
HDR,4.02298851,95.97701149,180,180,174,7,167,0,0,0,167,0,0,167,0,0,0,0,gRNA_13903
Reference,28.22580645,71.77419355,147,147,124,35,89,0,0,0,89,0,0,89,0,0,0,0,gRNA_13904
HDR,56.52173913,43.47826087,147,147,23,13,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_13904
Reference,0.0,100.0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13905
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13905
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13906
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13906
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13907
