Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
Reference,56.52173913,43.47826087,25,25,23,13,10,0,0,0,10,0,0,10,0,0,0,0,gRNA_4
HDR,100.0,0.0,25,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_4
Reference,33.33333333,66.66666667,6552,6552,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_5
HDR,69.89148709,30.10851291,6552,6552,6543,4573,1970,0,0,13,1959,0,11,1957,0,0,2,0,gRNA_5
Reference,0.0,100.0,1220,1220,57,0,57,0,0,0,57,0,0,57,0,0,0,0,gRNA_6
HDR,0.17196905,99.82803095,1220,1220,1163,2,1161,0,0,7,1161,0,0,1154,0,0,7,0,gRNA_6
Reference,0.0,100.0,122,122,120,0,120,0,0,0,120,0,0,120,0,0,0,0,gRNA_7
HDR,0.0,100.0,122,122,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_7
Reference,0.43103448,99.56896552,465,465,464,2,462,0,0,2,462,0,0,460,0,0,2,0,gRNA_8
HDR,,,465,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_8
Reference,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_9
HDR,0.0,100.0,2,2,2,0,2,0,0,1,1,0,1,1,0,0,0,0,gRNA_9
Reference,0.0,100.0,3,3,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_10
HDR,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_10
Reference,20.0,80.0,5,5,5,1,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_11
HDR,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_11
Reference,50.0,50.0,66,66,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_12
HDR,48.4375,51.5625,66,66,64,31,33,0,0,1,32,0,1,32,0,0,0,0,gRNA_12
Reference,83.33333333,16.66666667,6,6,6,5,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13
HDR,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13
Reference,33.33333333,66.66666667,3,3,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_14
HDR,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_14
Reference,0.0,100.0,177,177,11,0,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_15
HDR,0.0,100.0,177,177,166,0,166,0,0,0,166,0,0,166,0,0,0,0,gRNA_15
Reference,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_16
HDR,0.0,100.0,5,5,5,0,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_16
Reference,18.75,81.25,18,18,16,3,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_17
HDR,0.0,100.0,18,18,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_17
Reference,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_18
HDR,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_18
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_19
