Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
Reference,61.55531216,38.44468784,913,913,913,562,351,0,0,3,348,0,3,348,0,0,0,0,gRNA_4
HDR,,,913,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_4
Reference,39.06856404,60.93143596,775,775,773,302,471,0,0,8,465,0,6,463,0,0,2,0,gRNA_5
HDR,100.0,0.0,775,775,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_5
Reference,0.71428571,99.28571429,1129,1129,1120,8,1112,0,0,2,1111,0,1,1110,0,0,1,0,gRNA_6
HDR,0.0,100.0,1129,1129,7,0,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_6
Reference,13.29561528,86.70438472,708,708,707,94,613,0,0,1,612,0,1,612,0,0,0,0,gRNA_7
HDR,0.0,100.0,708,708,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_7
Reference,1.44927536,98.55072464,69,69,69,1,68,0,0,1,68,0,0,67,0,0,1,0,gRNA_8
HDR,,,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_8
Reference,0.0,100.0,55,55,52,0,52,0,52,0,50,2,0,0,0,50,0,0,gRNA_9
HDR,0.0,100.0,55,55,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_9
Reference,25.46728972,74.53271028,428,428,428,109,319,0,0,1,318,0,1,318,0,0,0,0,gRNA_10
HDR,,,428,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_10
Reference,3.44827586,96.55172414,87,87,87,3,84,0,0,0,84,0,0,84,0,0,0,0,gRNA_11
HDR,,,87,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_11
Reference,36.12862547,63.87137453,1591,1591,1586,573,1013,0,0,4,1009,0,4,1009,0,0,0,0,gRNA_12
HDR,0.0,100.0,1591,1591,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_12
Reference,60.04962779,39.95037221,404,404,403,242,161,0,0,0,161,0,0,161,0,0,0,0,gRNA_13
HDR,,,404,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13
Reference,43.93939394,56.06060606,198,198,198,87,111,0,0,0,111,0,0,111,0,0,0,0,gRNA_14
HDR,,,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_14
Reference,3.125,96.875,557,557,544,17,527,0,0,1,526,0,1,526,0,0,0,0,gRNA_15
HDR,0.0,100.0,557,557,13,0,13,0,0,0,13,0,0,13,0,0,0,0,gRNA_15
Reference,0.74626866,99.25373134,142,142,134,1,133,0,0,0,133,0,0,133,0,0,0,0,gRNA_16
HDR,14.28571429,85.71428571,142,142,7,1,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_16
Reference,23.75,76.25,82,82,80,19,61,0,0,0,61,0,0,61,0,0,0,0,gRNA_17
HDR,0.0,100.0,82,82,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_17
Reference,25.0,75.0,5,5,4,1,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_18
HDR,0.0,100.0,5,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_18
Reference,33.23863636,66.76136364,352,352,352,117,235,0,0,0,235,0,0,235,0,0,0,0,gRNA_19
