Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
Reference,64.20047733,35.79952267,1767,1767,1676,1076,600,0,0,3,598,0,2,597,0,0,1,0,gRNA_4
HDR,87.77777778,12.22222222,1767,1767,90,79,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_4
Reference,100.0,0.0,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_5
HDR,100.0,0.0,8,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_5
Reference,0.0,100.0,23,23,14,0,14,0,0,0,14,0,0,14,0,0,0,0,gRNA_6
HDR,0.0,100.0,23,23,9,0,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_6
Reference,0.0,100.0,138,138,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_7
HDR,0.0,100.0,138,138,134,0,134,0,0,0,134,0,0,134,0,0,0,0,gRNA_7
Reference,0.0,100.0,2,2,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_8
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_8
Reference,,,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_9
HDR,0.0,100.0,255,255,255,0,255,0,0,0,255,0,0,255,0,0,0,0,gRNA_9
Reference,15.38461538,84.61538462,73,73,13,2,11,0,0,0,11,0,0,11,0,0,0,0,gRNA_10
HDR,53.33333333,46.66666667,73,73,60,32,28,0,0,0,28,0,0,28,0,0,0,0,gRNA_10
Reference,,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_11
HDR,16.66666667,83.33333333,6,6,6,1,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_11
Reference,36.11111111,63.88888889,146,145,144,52,92,0,0,1,92,0,0,91,0,0,1,0,gRNA_12
HDR,,,146,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_12
Reference,45.45454545,54.54545455,11,11,11,5,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_13
HDR,,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13
Reference,33.33333333,66.66666667,3,3,3,1,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_14
HDR,,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_14
Reference,0.0,100.0,9065,9065,1065,0,1065,0,0,2,1065,0,0,1063,0,0,2,0,gRNA_15
HDR,0.01250782,99.98749218,9065,9065,7995,1,7994,0,0,21,7993,0,1,7973,0,0,20,0,gRNA_15
Reference,0.0,100.0,393,393,1,0,1,0,0,1,0,0,1,0,0,0,0,0,gRNA_16
HDR,13.52040816,86.47959184,393,393,392,53,339,0,131,131,212,0,0,208,127,0,0,4,gRNA_16
Reference,0.0,100.0,16,16,6,0,6,0,0,0,6,0,0,6,0,0,0,0,gRNA_17
HDR,10.0,90.0,16,16,10,1,9,0,0,0,9,0,0,9,0,0,0,0,gRNA_17
Reference,28.57142857,71.42857143,8,7,7,2,5,0,0,0,5,0,0,5,0,0,0,0,gRNA_18
HDR,,,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_18
Reference,0.0,100.0,812,812,812,0,812,0,0,6,812,0,0,806,0,0,6,0,gRNA_19
